recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
129883711,"{'steamid': '76561198164221485', 'num_games_owned': 67, 'num_reviews': 24, 'playtime_forever': 1093, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1089, 'last_played': 1676540370}",english,"Great expansion to a great game, simple",1672604658,1672604658,True,0,0,0,0,False,False,False,True,
129648811,"{'steamid': '76561199062049110', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 652, 'playtime_last_two_weeks': 0, 'playtime_at_review': 652, 'last_played': 1632562064}",english,"Its a nice game, very free in what to do, but still has something to do all the time, dealing with your cities' population, hunger and happiness and a lot of other stuff like barbarians to worry about.",1672361264,1672361264,True,0,0,0,0,False,False,False,True,
128770046,"{'steamid': '76561198248383546', 'num_games_owned': 0, 'num_reviews': 5, 'playtime_forever': 262, 'playtime_last_two_weeks': 0, 'playtime_at_review': 262, 'last_played': 1671336352}",english,pretty good,1671336367,1671336367,True,0,0,0.474440276622772217,0,False,False,False,True,
128625362,"{'steamid': '76561197970458445', 'num_games_owned': 274, 'num_reviews': 356, 'playtime_forever': 441, 'playtime_last_two_weeks': 0, 'playtime_at_review': 441, 'last_played': 1671137565}",english,"The first expansion pack to Civ 4, and it's basically what would have been a bunch of scenario and civilization DLCs for Civ 5 or 6. And a few wonders, a new great person (the general, kind of like the leaders you'd get from winning battles sometimes in Civ 3). All in all, it didn't really change anything from a vanilla game of Civ 4, but the extra content was nice.

Of course this is all moot since you'd just buy the complete edition these days anyway...",1671137858,1671137858,True,2,0,0.545454561710357666,0,True,False,False,True,
128315722,"{'steamid': '76561198880292240', 'num_games_owned': 0, 'num_reviews': 7, 'playtime_forever': 412, 'playtime_last_two_weeks': 6, 'playtime_at_review': 341, 'last_played': 1710786812}",english,"best civ 10/10
",1670703566,1670703566,True,1,0,0.498245507478713989,0,False,False,False,True,
127918126,"{'steamid': '76561198016568879', 'num_games_owned': 0, 'num_reviews': 7, 'playtime_forever': 4292, 'playtime_last_two_weeks': 0, 'playtime_at_review': 4292, 'last_played': 1670163696}",english,"Yep, still the best Civ of all time, had to retry recently. Just coming from Civ6 and man that is one retarded, broken console game compared to this.",1670163845,1670163845,True,0,0,0,0,True,False,False,True,
127568670,"{'steamid': '76561198050284599', 'num_games_owned': 0, 'num_reviews': 4, 'playtime_forever': 8535, 'playtime_last_two_weeks': 0, 'playtime_at_review': 8203, 'last_played': 1669760134}",english,Fun game. Have played Civ for a long time and editions  IV and V are my favorites.,1669740167,1669740167,True,0,0,0,0,False,False,False,True,
126520305,"{'steamid': '76561198094393577', 'num_games_owned': 1140, 'num_reviews': 230, 'playtime_forever': 6, 'playtime_last_two_weeks': 0, 'playtime_at_review': 6, 'last_played': 1669261127}",english,What are you doing here? Shouldn't you be playing Beyond the Sword instead?,1669261134,1669261134,True,0,0,0.395366877317428589,0,False,False,False,True,
124496759,"{'steamid': '76561198084312906', 'num_games_owned': 0, 'num_reviews': 7, 'playtime_forever': 1078, 'playtime_last_two_weeks': 0, 'playtime_at_review': 585, 'last_played': 1700744865}",english,Its awsome,1666920349,1666920349,True,0,0,0,0,False,False,False,True,
124285464,"{'steamid': '76561199042820372', 'num_games_owned': 0, 'num_reviews': 49, 'playtime_forever': 403, 'playtime_last_two_weeks': 0, 'playtime_at_review': 403, 'last_played': 1648046389}",english,Nice add-on,1666546267,1666546267,True,0,0,0,0,False,False,False,True,
124181638,"{'steamid': '76561199200069804', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 1297, 'playtime_last_two_weeks': 0, 'playtime_at_review': 894, 'last_played': 1666539921}",english,"I have been a civ fan for 20 yrs love this game!
",1666389504,1666389504,True,0,0,0,0,False,False,False,True,
123655034,"{'steamid': '76561198024800793', 'num_games_owned': 14, 'num_reviews': 1, 'playtime_forever': 2786, 'playtime_last_two_weeks': 0, 'playtime_at_review': 265, 'last_played': 1667221056}",spanish,awesauce,1665437721,1665437721,True,1,0,0,0,True,False,False,True,
